Instance,Tasks,random_mean,random_std,sept_mean,sept_std,lept_mean,lept_std,mwr_mean,mwr_std,fifo_mean,fifo_std,symbolic_rl_mean,symbolic_rl_std,symbolic_states,region_rl_mean,region_rl_std,region_states,clock_space_ub
PJS_01,4,7.03,0.5,7.01,0.57,7.05,0.67,7.18,0.55,7.1,0.59,7.0,0.57,59,7.15,0.57,12,42
PJS_02,5,10.71,1.94,11.07,1.95,10.96,1.9,10.92,2.04,10.67,1.96,10.79,1.86,176,11.1,1.65,39,72
PJS_03,6,16.6,3.75,15.78,3.59,17.96,4.15,15.64,3.85,16.75,4.61,15.55,3.59,1034,16.06,3.38,242,900
PJS_04,9,12.44,1.57,12.35,1.68,12.34,1.89,12.29,1.61,12.28,1.97,12.44,1.98,2385,12.1,1.47,340,448
PJS_05,12,24.09,4.72,22.86,4.49,25.2,4.99,22.15,3.92,24.5,5.0,23.37,4.24,7650,24.65,4.94,4122,8100
PJS_06,25,34.89,4.23,34.5,4.21,34.93,3.22,33.55,2.69,34.27,3.45,34.54,3.56,49832,35.3,4.13,25748,100000
PJS_07,25,39.15,5.16,39.37,5.58,40.09,4.72,37.32,3.87,39.62,5.28,38.58,5.47,43443,38.96,5.12,24282,161051
PJS_08,36,70.79,7.3,84.86,7.89,76.14,7.32,64.39,4.43,70.25,5.44,71.01,7.08,109970,80.23,9.76,97400,10368000
PJS_09,48,64.78,7.15,65.42,6.62,72.73,8.85,61.59,5.08,71.21,8.46,64.52,6.52,209444,65.02,7.19,185114,946054564
PJS_10,100,1365.0,84.89,1234.0,74.24,1466.31,90.89,1311.19,60.86,1386.99,85.42,1312.18,84.81,762024,1249.72,65.63,748341,950494060043226316800
