Instance,Jobs,Machines,Tasks,LB_expected,UB_worstcase,random_mean,random_std,sept_mean,sept_std,lept_mean,lept_std,mwr_mean,mwr_std,fifo_mean,fifo_std
PJS_01,2,2,4,6.0,16,7.04,0.6,7.03,0.58,7.03,0.6,7.05,0.61,7.04,0.62
PJS_02,2,3,5,8.0,28,10.84,1.9,10.97,1.83,10.93,1.95,10.96,1.87,10.9,1.87
PJS_03,3,2,6,13.1,44,16.67,4.3,15.69,3.61,17.83,4.5,15.92,3.71,17.3,4.5
PJS_04,3,3,9,10.0,40,12.3,1.8,12.35,1.66,12.4,1.77,12.24,1.67,12.46,1.78
PJS_05,4,3,12,16.8,81,24.32,4.8,23.27,4.29,25.04,4.79,22.86,4.08,25.09,5.08
PJS_06,5,5,25,29.3,178,34.92,3.76,34.89,4.24,35.09,3.8,33.43,2.58,34.79,3.84
PJS_07,5,5,25,29.0,180,39.31,5.25,39.74,5.64,39.7,5.05,37.16,4.01,39.35,5.23
PJS_08,6,6,36,44.25,291,71.03,7.93,86.17,7.97,75.7,7.5,64.34,4.6,69.76,5.69
PJS_09,8,6,48,47.5,429,67.0,7.89,65.18,7.3,71.87,8.64,60.5,4.98,73.08,8.76
PJS_10,10,10,100,619.0,7192,1358.91,94.81,1231.78,70.35,1449.82,93.98,1300.79,59.66,1389.53,86.92
