Instance,random_mean,random_std,sept_mean,sept_std,lept_mean,lept_std,mwr_mean,mwr_std,fifo_mean,fifo_std,symbolic_rl_mean,symbolic_rl_std,sym_zone_lb,zone_states
PJS_01,7.03,0.5,7.01,0.57,7.05,0.67,7.18,0.55,7.1,0.59,7.0,0.57,7.1,59
PJS_02,10.71,1.94,11.07,1.95,10.96,1.9,10.92,2.04,10.67,1.96,10.79,1.86,10.9,176
PJS_03,16.6,3.75,15.78,3.59,17.96,4.15,15.64,3.85,16.75,4.61,15.55,3.59,15.0,1035
PJS_04,12.44,1.57,12.35,1.68,12.34,1.89,12.29,1.61,12.28,1.97,12.44,1.98,11.95,2401
PJS_05,24.09,4.72,22.86,4.49,25.2,4.99,22.15,3.92,24.5,5.0,23.37,4.24,24.8,7733
PJS_06,34.89,4.23,34.5,4.21,34.93,3.22,33.55,2.69,34.27,3.45,34.54,3.56,35.15,50176
PJS_07,39.15,5.16,39.37,5.58,40.09,4.72,37.32,3.87,39.62,5.28,38.58,5.47,40.2,43715
PJS_08,70.79,7.3,84.86,7.89,76.14,7.32,64.39,4.43,70.25,5.44,71.01,7.08,69.5,110521
PJS_09,64.78,7.15,65.42,6.62,72.73,8.85,61.59,5.08,71.21,8.46,64.52,6.52,71.35,210251
PJS_10,1365.0,84.89,1234.0,74.24,1466.31,90.89,1311.19,60.86,1386.99,85.42,1312.18,84.81,1265.9,763867
