Instance,size,Jobs,Machines,Tasks,best_baseline_name,best_baseline_mean,best_baseline_std,symbolic_rl_mean,symbolic_rl_std,zone_graph_bfs,zone_graph_truncated,region_rl_mean,region_rl_std,region_graph_bfs,region_graph_truncated,region_states_theory
PJS_01,2×2,2,2,4,sept,7.01,0.57,7.02,0.57,28,False,7.07,0.67,31,False,42
PJS_02,2×3,2,3,5,fifo,10.67,1.96,10.76,1.84,98,False,11.09,1.78,102,False,72
PJS_03,3×2,3,2,6,mwr,15.64,3.85,15.98,3.39,474,False,16.39,3.37,530,False,900
PJS_04,3×3,3,3,9,fifo,12.28,1.97,12.36,1.86,1307,False,12.27,1.5,1425,False,448
PJS_05,4×3,4,3,12,mwr,22.15,3.92,23.12,3.83,42634,False,24.32,4.7,49998,False,8100
PJS_06,5×5,5,5,25,mwr,33.55,2.69,34.64,3.62,200004,True,35.15,3.61,200003,True,100000
PJS_07,5×5,5,5,25,mwr,37.32,3.87,38.44,4.88,200000,True,38.88,4.78,200002,True,161051
PJS_08,6×6,6,6,36,mwr,64.39,4.43,79.98,10.85,200003,True,77.73,11.15,200001,True,10368000
PJS_09,8×6,8,6,48,mwr,61.59,5.08,65.12,6.56,200002,True,65.21,6.97,200002,True,946054564
PJS_10,10×10,10,10,100,sept,1234.0,74.24,1305.35,84.43,200003,True,1324.85,76.46,200003,True,950494060043226316800
LJS_01,6×4,6,4,24,sept,93.49,8.25,98.83,11.74,200007,True,100.34,12.84,200005,True,230230000
LJS_02,7×5,7,5,35,mwr,112.62,7.66,120.75,12.06,200007,True,117.83,10.34,200002,True,4182406250
LJS_03,8×5,8,5,40,mwr,124.09,7.33,138.55,13.7,200001,True,138.71,13.69,200000,True,109312890625
LJS_04,8×6,8,6,48,mwr,131.38,7.17,142.39,10.86,200000,True,143.58,10.39,200000,True,118818359375
LJS_05,9×6,9,6,54,mwr,146.01,10.58,172.81,23.03,200000,True,173.8,23.12,200000,True,2732822265625
LJS_06,10×6,10,6,60,mwr,155.65,9.74,181.99,23.03,200003,True,185.51,24.02,200003,True,68320556640625
LJS_07,10×7,10,7,70,mwr,159.88,8.42,176.43,15.67,200003,True,179.95,13.94,200003,True,74261474609375
LJS_08,11×7,11,7,77,mwr,171.97,9.15,189.7,13.63,200006,True,190.76,14.4,200006,True,1856536865234375
LJS_09,12×8,12,8,96,mwr,191.98,8.03,209.92,15.89,200002,True,216.86,16.22,200002,True,54836273193359375
LJS_10,14×8,14,8,112,mwr,214.87,8.83,239.19,16.99,200005,True,240.94,16.7,200005,True,34272670745849609375
