Instance,size,Jobs,Machines,Tasks,best_baseline_name,best_baseline_mean,best_baseline_std,symbolic_rl_mean,symbolic_rl_std,region_rl_mean,region_rl_std,ddpg_mean,ddpg_std,ddpg_params
PJS_01,2×2,2,2,4,sept,7.01,0.57,7.02,0.57,7.07,0.67,7.03,0.57,"neural (143,108 params)"
PJS_02,2×3,2,3,5,fifo,10.67,1.96,10.76,1.84,11.09,1.78,10.83,1.94,"neural (145,156 params)"
PJS_03,3×2,3,2,6,mwr,15.64,3.85,15.98,3.39,16.39,3.37,15.86,3.28,"neural (148,229 params)"
PJS_05,4×3,4,3,12,mwr,22.15,3.92,23.12,3.83,24.32,4.7,22.96,3.84,"neural (161,542 params)"
PJS_06,5×5,5,5,25,mwr,33.55,2.69,34.64,3.62,35.15,3.61,33.76,2.98,"neural (189,191 params)"
PJS_07,5×5,5,5,25,mwr,37.32,3.87,38.44,4.88,38.88,4.78,37.57,4.62,"neural (189,191 params)"
PJS_08,6×6,6,6,36,mwr,64.39,4.43,79.98,10.85,77.73,11.15,69.91,7.78,"neural (212,744 params)"
PJS_09,8×6,8,6,48,mwr,61.59,5.08,65.12,6.56,65.21,6.97,67.99,8.93,"neural (239,370 params)"
LJS_08,11×7,11,7,77,mwr,171.97,9.15,189.7,13.63,190.76,14.4,188.93,15.37,"neural (301,837 params)"
LJS_09,12×8,12,8,96,mwr,191.98,8.03,209.92,15.89,216.86,16.22,201.79,13.87,"neural (341,774 params)"
LJS_10,14×8,14,8,112,mwr,214.87,8.83,239.19,16.99,240.94,16.7,264.8,15.27,"neural (376,592 params)"
